formatted_address,geometry,icon,id,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total
"Saksahanskoho St, 76, Kyiv, Ukraine, 01032","{'location': {'lat': 50.44027639999999, 'lng': 30.5013722}, 'viewport': {'northeast': {'lat': 50.44155312989272, 'lng': 30.50258817989272}, 'southwest': {'lat': 50.43885347010727, 'lng': 30.49988852010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/post_office-71.png,1d972a04859d4fab983732eccad4c6dd411a9c7d,Nova Poshta,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103702268530011921373/photos"">A Google User</a>'], 'photo_reference': 'CmRaAAAAFAxheUKKMag8ITld0Rn1gGU1yTjs0siKwltrA6zXYCb-OflK7sD4fOJstU-AxePJUmqD_tA7MDfsfSES3e0ssXcEUObRiqNml6bCnHPCcLQSdPgKJvlQNrORmg37wE0TEhDu7-VBiS78-Bjb-zLnV7lmGhS4WaukIIbBp7USVp_AT3JHMpL3Ng', 'width': 3120}]",ChIJHw_UA_HO1EARC2d-Q4YGvBg,"{'compound_code': 'CGR2+4G Kyiv, Kyiv city', 'global_code': '9G2GCGR2+4G'}",3.8,ChIJHw_UA_HO1EARC2d-Q4YGvBg,"['post_office', 'finance', 'point_of_interest', 'establishment']",417
"Київ, Бульварно-Кудрявська, ран. Воровського, 39/11, Kyiv, Ukraine, 01054","{'location': {'lat': 50.450083, 'lng': 30.49622}, 'viewport': {'northeast': {'lat': 50.45149487989272, 'lng': 30.49750397989272}, 'southwest': {'lat': 50.44879522010728, 'lng': 30.49480432010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,1b10a884a4808f76fd0784247e54989c458a656f,Nova Poshta,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110745951609193797854/photos"">Ruslan Kotsaba</a>'], 'photo_reference': 'CmRaAAAAH_jLQn0B5cHDDWeAdvrJOH5CmkpptFrTQFVf45VDAiPRW6eFgYFM8i-KxKcJUglhNs5X0WYiPdNh_711VQy_vJ3q5Sq0pSgsweLj63EMFcb9uVKy_hYiTWfKYdlj0HCPEhCKj-zkZkuLcpd4Kb2UhufdGhTzSWftucDDkkYdHhes6bEVgcrTBQ', 'width': 4608}]",ChIJT1wtIGDO1EARDscyDRzUTPA,"{'compound_code': 'FF2W+2F Kyiv, Kyiv city', 'global_code': '9G2GFF2W+2F'}",4.3,ChIJT1wtIGDO1EARDscyDRzUTPA,"['point_of_interest', 'establishment']",192
"Preobrazhenska St, 8б, Kyiv, Ukraine, 03037","{'location': {'lat': 50.4242448, 'lng': 30.4724908}, 'viewport': {'northeast': {'lat': 50.42569647989271, 'lng': 30.47399722989272}, 'southwest': {'lat': 50.42299682010727, 'lng': 30.47129757010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,e3d7c7406b127e42cec679d222035d549118d596,Nova Poshta №240,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100078209464707612784/photos"">Сергей Кутовой</a>'], 'photo_reference': 'CmRaAAAA9SpS4FCZ4XtRBv7hluDTfD2BRJZehR0bVTaQKaBbV9xnilo2qb2O7L0BUMzT30lVEhDDoayvY6o3zLXfXEpXC48jsE7H_ukbrJ6Z3B0rCU9b1OptQrcvkMr6wZU0o-haEhDlMrgkMLKZuODuSJQSRjahGhQFrAMo7PeZsVLgoo0fR2XM-y8sIw', 'width': 1920}]",ChIJTw2tusfO1EARWh7P_e6if-o,"{'compound_code': 'CFFC+MX Kyiv, Kyiv city', 'global_code': '9G2GCFFC+MX'}",4.2,ChIJTw2tusfO1EARWh7P_e6if-o,"['point_of_interest', 'establishment']",595
"маг.""Фуршет, Lesi Ukrainky Blvd, 5, Kyiv, Ukraine, 01133","{'location': {'lat': 50.4352113, 'lng': 30.5301745}, 'viewport': {'northeast': {'lat': 50.43650382989272, 'lng': 30.53141067989272}, 'southwest': {'lat': 50.43380417010727, 'lng': 30.52871102010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,c0e0477b2ad6ba0fea0f41a79352459471502f3e,Nova Poshta,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118131476736826131701/photos"">Владимир Папко</a>'], 'photo_reference': 'CmRaAAAA0fGbzNm_3y3YvKQGlBqMCV0ASREcHagbP_mM8KrqBMmwfLd6QjueZbcuzmRyxIRPdeRxHQoip_xCItP5bwIOXwXjuktxUJoY2dn92m_nLi3jPhebdicfeTfYdLp-gPcyEhCy06XJP2sC32AUrdInPZ_FGhTN3QUdpjXpbzlFae-rOkV0Gq8GCw', 'width': 3264}]",ChIJk2oxTQHP1EARKlmkVD6n2PU,"{'compound_code': 'CGPJ+33 Kyiv, Kyiv city', 'global_code': '9G2GCGPJ+33'}",4.0,ChIJk2oxTQHP1EARKlmkVD6n2PU,"['point_of_interest', 'establishment']",115
"Київ, Шота Руставелі, 31а (м. ""Палац спорту, Kyiv, Ukraine, 01001","{'location': {'lat': 50.4372615, 'lng': 30.5187893}, 'viewport': {'northeast': {'lat': 50.43861022989272, 'lng': 30.51991432989272}, 'southwest': {'lat': 50.43591057010727, 'lng': 30.51721467010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,a28abba3956efb2bc79f6701bfaaf68776906d16,Nova Poshta,{'open_now': True},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107265749593117555318/photos"">A Google User</a>'], 'photo_reference': 'CmRaAAAAGdtnJM8OST9w3xAz1wLWX3SNT2erGTMi5RHhdOswCMWXmXTMjgko9R4mha0VDB1xUtSGb-j-D7RxWDSwRsT8uJ6BZQ7iD1rT8a2NFB3oP2mbWZpx1-oVjaJ5TwzR0Mt0EhBvFO8hHht9587Jt6t7_ViQGhTVIAytsg803DC4W7odwf9FwdZC5w', 'width': 1836}]",ChIJm9qlhf7O1EARZQ5CXQ2Cgy0,"{'compound_code': 'CGP9+WG Kyiv, Kyiv city', 'global_code': '9G2GCGP9+WG'}",4.2,ChIJm9qlhf7O1EARZQ5CXQ2Cgy0,"['point_of_interest', 'establishment']",146
"Pushkinska St, 45/2, Kyiv, Ukraine, 01004","{'location': {'lat': 50.4398783, 'lng': 30.5162341}, 'viewport': {'northeast': {'lat': 50.44124727989272, 'lng': 30.51746147989272}, 'southwest': {'lat': 50.43854762010728, 'lng': 30.51476182010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,bfa8629708c9278c6c2d19e9c880589240ad1c89,Nova Poshta №250,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114060894345944852958/photos"">Seva TV</a>'], 'photo_reference': 'CmRaAAAAB3xnWmKpJJIv9jZugJI4WWjC2-eBzzYUeXOlPhH-FONmYi42LBVN2KoQ09SynTIiZMgHs58B7MOTHAWiYtPIyZzOiK5pf94E0kIAHLPdmg43mKvYnEqIRi6cIZs9YdH0EhBlJbIFgHfS7Wn1dtkym1uFGhQTKVyQZST8Zsufo1Ntivi-PK1_pQ', 'width': 4032}]",ChIJPf6Syv7O1EARO7ZDw1a7l0k,"{'compound_code': 'CGQ8+XF Kyiv, Kyiv city', 'global_code': '9G2GCGQ8+XF'}",4.2,ChIJPf6Syv7O1EARO7ZDw1a7l0k,"['point_of_interest', 'establishment']",310
"Львівська площа, Sichovykh Striltsiv St, 14а, Kyiv, Ukraine, 04053","{'location': {'lat': 50.4565464, 'lng': 30.5022593}, 'viewport': {'northeast': {'lat': 50.45781847989272, 'lng': 30.50355772989272}, 'southwest': {'lat': 50.45511882010728, 'lng': 30.50085807010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,15356a1fc0839f74fc8d0008ccb887aedb8d4cf0,Nova Poshta,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102265920337416693898/photos"">Павло Мельник</a>'], 'photo_reference': 'CmRaAAAAVipPJ5HZKt1c54wJ0G5UXxnY8ACJT786Q75Dp_DTtZjsbyR7AizLxCuTrn9qx3XhjVm9tkp5DTosL-wfWerHlKeCqODty6tGE2NJlOJ_cYiqogLDEjgzQ1I1sLAO7R7CEhAtohTaFKBK8XvZfHKuJAe8GhQtif1k5TKbyqyEA4XzOYTrSuG3Dw', 'width': 3264}]",ChIJO8TeB2fO1EAR6Uhz5ZbyDBI,"{'compound_code': 'FG42+JW Kyiv, Kyiv city', 'global_code': '9G2GFG42+JW'}",4.3,ChIJO8TeB2fO1EAR6Uhz5ZbyDBI,"['point_of_interest', 'establishment']",308
"Peremohy Ave, 20, Kyiv, Ukraine, 04116","{'location': {'lat': 50.4505389, 'lng': 30.4725005}, 'viewport': {'northeast': {'lat': 50.45173837989272, 'lng': 30.47378977989272}, 'southwest': {'lat': 50.44903872010727, 'lng': 30.47109012010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,3e57c77c5d73ed152f473b242516680d233a52be,new post,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103339177871895883007/photos"">Nikolay Korotenko</a>'], 'photo_reference': 'CmRaAAAAttm9C074ACmTSGSk1fddqvw0Da77zM1_lFUGdlkA8HHNM9s5mejkXrBfaRAueRVwX2h8vzcrWnP8NF5uRz4_HzY4MlfmoiTmq2KZbh5WC422Izhh5b589RiJTxaZ-ySNEhBUKwdltBKHPHlSoericiB-GhQ8wgPFi4YhTHA6tfOr1p8Jh_afGA', 'width': 5312}]",ChIJeXGl14XO1EARFqCjXi3UXls,"{'compound_code': 'FF2F+62 Kyiv, Kyiv city', 'global_code': '9G2GFF2F+62'}",4.0,ChIJeXGl14XO1EARFqCjXi3UXls,"['point_of_interest', 'establishment']",557
"проспект Голосіївський, 68, Kyiv, Ukraine, 03039","{'location': {'lat': 50.3990175, 'lng': 30.5106591}, 'viewport': {'northeast': {'lat': 50.40030432989273, 'lng': 30.51212707989271}, 'southwest': {'lat': 50.39760467010728, 'lng': 30.50942742010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,e86dd814452985d3967249ee35bfca84cfef91f4,Nova Poshta,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100145049629650613061/photos"">Дмитрий Я</a>'], 'photo_reference': 'CmRaAAAAFq_l_kFZ0dEua2ybxMwnQd4VLn8Tx6k1Wex2bIfxA4EfkP6AUVjlMzAecdA5bCA_QNkiksgrpNskCRog5KlKW6imrnUyMynLlxIxE574UIJcVlSbVVo3qnUzTPwz2t3FEhDXNm-z7LShDSyt92c7yz2nGhSJwTPESPMhLoQGtWVN013c8Gk4lQ', 'width': 3120}]",ChIJ_6NjIcvI1EARZi41zLkI5sQ,"{'compound_code': '9GX6+J7 Kyiv, Kyiv city', 'global_code': '9G2G9GX6+J7'}",3.8,ChIJ_6NjIcvI1EARZi41zLkI5sQ,"['point_of_interest', 'establishment']",349
"Prorizna St, 9, Kyiv, Ukraine, 01001","{'location': {'lat': 50.44812229999999, 'lng': 30.5183844}, 'viewport': {'northeast': {'lat': 50.44955312989272, 'lng': 30.51976782989272}, 'southwest': {'lat': 50.44685347010728, 'lng': 30.51706817010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,d0648892c2c73c2ea578b2758cf2a6605d811af4,Nova Poshta,{'open_now': True},"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117844547400998627426/photos"">A Google User</a>'], 'photo_reference': 'CmRaAAAAhh4TbZguZIIzCxDBbv8fGKd0G7T4R-gan4Y_xj7DwRoYWnxJ9HTG-jd-MP2EznaGMSdNPIhZVUMaBt7uJgIEr-STuKR0LA9zo2zeLi1cUgCVYcSXd1loaKCkJucDoq2JEhAggkC6XBod4dPAPsm8xczAGhTSgGuIQX1uHaTJo7fp1wxmmrWNGw', 'width': 2322}]",ChIJ4wMVR1fO1EARwlYRemtnkmI,"{'compound_code': 'CGX9+69 Kyiv, Kyiv city', 'global_code': '9G2GCGX9+69'}",4.2,ChIJ4wMVR1fO1EARwlYRemtnkmI,"['point_of_interest', 'establishment']",264
